id,year,side_a,side_b,source_office,source_headline,source_original,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,country,date_event,total_deaths_best_estimate
467269,2022,G9,Civilians,National Human Rights Defense Network (RNDDH),Carnage at la Plaine du Cul-de-Sac: The survivors demand the support of the authorities,,Croix-des-Missions town,Ouest department,Port-au-Prince arrondissement,"415,1875","-201,0416667",POINT (-72.28518 18.59679),Haiti,2022-04-24 00:00:00.000,1
467271,2022,G9,Civilians,National Human Rights Defense Network (RNDDH),Carnage at la Plaine du Cul-de-Sac: The survivors demand the support of the authorities,,Croix-des-Missions town,Ouest department,Port-au-Prince arrondissement,"415,1875","-201,0416667",POINT (-72.28518 18.59679),Haiti,2022-04-24 00:00:00.000,1
467293,2022,G9,Civilians,National Human Rights Defense Network (RNDDH),Carnage at la Plaine du Cul-de-Sac: The survivors demand the support of the authorities,,Butte Boyer town,Ouest department,Port-au-Prince arrondissement,"414,4631944","-195,2284722",POINT (-72.276809 18.595747),Haiti,2022-04-25 00:00:00.000,1
445209,2022,G9,Civilians,Vant Bef Info,Haïti : Protestation à Solino contre l’assassinat de deux personnes,"neighbors, witnesses",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2022-05-10 00:00:00.000,2
450906,2022,G9,Civilians,Haiti Libre,Haiti - FLASH : Two young journalists killed in Cité-Soleil,,Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2022-09-11 00:00:00.000,2
563084,2024,G9,Civilians,UN Integrated Office in Haiti (BINUH),QUARTERLY REPORT ON THE HUMAN RIGHTS SITUATION IN HAITI,BINUH,Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2024-02-01 00:00:00.000,66
354735,2020,"Delmas 19 gang , Delmas 6 gang, Delmas 95 gang, Nan Barozi gang, Nan Belekou gang, Nan Boston gang, Nan Chabón, Nan Ti Bwa gang, Pilate Base gang, Simon Pele gang, Wharf de Jeremie gang",Civilians,National Human Rights Defense Network (RNDDH),Attacks on deprived neighborhoods: The RNDDH demands the end of the protection of armed gangs by the authorities in power,"Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-05-23 00:00:00.000,5
354717,2020,"Delmas 19 gang , Delmas 6 gang, Delmas 95 gang, Nan Barozi gang, Nan Belekou gang, Nan Boston gang, Nan Chabón, Nan Ti Bwa gang, Pilate Base gang, Simon Pele gang, Wharf de Jeremie gang",Civilians,National Human Rights Defense Network (RNDDH),Attacks on deprived neighborhoods: The RNDDH demands the end of the protection of armed gangs by the authorities in power,"Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-05-23 00:00:00.000,1
354727,2020,"Delmas 19 gang , Delmas 6 gang, Delmas 95 gang, Nan Barozi gang, Nan Belekou gang, Nan Boston gang, Nan Chabón, Nan Ti Bwa gang, Pilate Base gang, Simon Pele gang, Wharf de Jeremie gang",Civilians,National Human Rights Defense Network (RNDDH),Attacks on deprived neighborhoods: The RNDDH demands the end of the protection of armed gangs by the authorities in power,"Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-05-24 00:00:00.000,18
354732,2020,"Delmas 19 gang , Delmas 6 gang, Delmas 95 gang, Nan Barozi gang, Nan Belekou gang, Nan Boston gang, Nan Chabón, Nan Ti Bwa gang, Pilate Base gang, Simon Pele gang, Wharf de Jeremie gang",Civilians,National Human Rights Defense Network (RNDDH),Attacks on deprived neighborhoods: The RNDDH demands the end of the protection of armed gangs by the authorities in power,"Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-05-25 00:00:00.000,1
354733,2020,"Delmas 19 gang , Delmas 6 gang, Delmas 95 gang, Nan Barozi gang, Nan Belekou gang, Nan Boston gang, Nan Chabón, Nan Ti Bwa gang, Pilate Base gang, Simon Pele gang, Wharf de Jeremie gang",Civilians,National Human Rights Defense Network (RNDDH),Attacks on deprived neighborhoods: The RNDDH demands the end of the protection of armed gangs by the authorities in power,"Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-05-26 00:00:00.000,5
354734,2020,"Delmas 19 gang , Delmas 6 gang, Delmas 95 gang, Nan Barozi gang, Nan Belekou gang, Nan Boston gang, Nan Chabón, Nan Ti Bwa gang, Pilate Base gang, Simon Pele gang, Wharf de Jeremie gang",Civilians,National Human Rights Defense Network (RNDDH),Attacks on deprived neighborhoods: The RNDDH demands the end of the protection of armed gangs by the authorities in power,"Several official sources, as well as testimony from witnesses",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-05-27 00:00:00.000,4
467275,2022,400 Mawozo,Civilians,National Human Rights Defense Network (RNDDH),Carnage at la Plaine du Cul-de-Sac: The survivors demand the support of the authorities,,Croix-des-Missions town,Ouest department,Port-au-Prince arrondissement,"415,1875","-201,0416667",POINT (-72.28518 18.59679),Haiti,2022-04-24 00:00:00.000,1
