id,year,conflict_dset_id,conflict_new_id,dyad_new_id,dyad_name,side_a,side_b,number_of_sources,source_office,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,event_clarity,date_prec,date_event,total_deaths_best_estimate
354767,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-16 00:00:00.000,1
354771,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-19 00:00:00.000,4
354772,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-20 00:00:00.000,3
354774,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-23 00:00:00.000,1
354775,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-25 00:00:00.000,1
354778,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-27 00:00:00.000,1
354780,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,Cité Soleil,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-07-28 00:00:00.000,1
407045,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,1,Port-au-Prince city,Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-08-27 00:00:00.000,1
407047,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,1,Port-au-Prince city,Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-08-27 00:00:00.000,3
407052,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,1,Port-au-Prince city,Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-09-03 00:00:00.000,1
380959,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,Vant Bef Info,Haiti / Security: Tension in Bel-Air: At least two dead and several houses set on fire,,1,Port-au-Prince city,"Bel-Air district, in downtown Port-au-Prince.",Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-09-19 00:00:00.000,2
407054,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,1,Port-au-Prince city,Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-10-04 00:00:00.000,1
407055,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,1,Port-au-Prince city,Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-10-05 00:00:00.000,1
407056,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,1,Port-au-Prince city,Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-10-09 00:00:00.000,2
407057,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,1,Port-au-Prince city,Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-10-16 00:00:00.000,3
407058,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,1,Port-au-Prince city,Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-10-20 00:00:00.000,3
407059,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH,1,Port-au-Prince city,Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-10-21 00:00:00.000,4
